"psize", "before_step", "before_step nb_rep", "boundary_conditions", "boundary_conditions nb_rep", "check_cohesive_stress", "check_cohesive_stress nb_rep", "dist_mesh", "dist_mesh nb_rep", "init_full", "init_full nb_rep", "initial_conditons", "initial_conditons nb_rep", "read_mesh", "read_mesh nb_rep", "solve_step", "solve_step nb_rep", "static_solve", "static_solve nb_rep"
1, 0.50215, 1, 0.486267, 50, 33145.6, 5000, 0.00288772, 1, 11393.3, 1, 0.0185306, 1, 10.642, 1, 13655.4, 5000, 1583.05, 1
1, 0.511579, 1, 0.488081, 50, 33732.4, 5000, 0.00290587, 1, 12165.2, 1, 0.0157454, 1, 10.1624, 1, 13884.7, 5000, 1587.51, 1
1, 0.524058, 1, 0.481518, 50, 33423.8, 5000, 0.00292244, 1, 11241.9, 1, 0.0156722, 1, 9.97866, 1, 13646.5, 5000, 1581.53, 1
1, 0.53231, 1, 0.479716, 50, 32237.6, 5000, 0.00295323, 1, 11241.4, 1, 0.0161881, 1, 9.89032, 1, 13833.1, 5000, 1585.64, 1
2, 0.239342, 1, 0.273978, 50, 27946, 5000, 57.5698, 1, 6511.59, 1, 0.00802522, 1, 9.72157, 1, 6982.96, 5000, 1058.9, 1
2, 0.241931, 1, 0.297116, 50, 27590, 5000, 58.5688, 1, 6443.44, 1, 0.00810959, 1, 9.88571, 1, 6941.07, 5000, 1176.4, 1
2, 0.245551, 1, 0.291849, 50, 27299.2, 5000, 55.9961, 1, 6420.24, 1, 0.00778753, 1, 9.66516, 1, 6792.48, 5000, 890.804, 1
4, 0.120798, 1, 0.156345, 50, 14036.8, 5000, 59.7061, 1, 2548.88, 1, 0.00396303, 1, 10.0797, 1, 3504.34, 5000, 587.324, 1
4, 0.12257, 1, 0.150479, 50, 14537.7, 5000, 60.5684, 1, 2687.21, 1, 0.00453588, 1, 10.5727, 1, 3521.69, 5000, 529.945, 1
4, 0.122695, 1, 0.15132, 50, 14113.4, 5000, 61.4339, 1, 2504.2, 1, 0.00458698, 1, 9.64815, 1, 3608.64, 5000, 538.85, 1
4, 0.123484, 1, 0.148762, 50, 14406, 5000, 58.3687, 1, 2589.11, 1, 0.00421059, 1, 9.78391, 1, 3488.45, 5000, 570.532, 1
4, 0.125519, 1, 0.153264, 50, 13775.2, 5000, 59.2637, 1, 2472.73, 1, 0.00538851, 1, 9.6467, 1, 3647.79, 5000, 517.829, 1
4, 0.12847, 1, 0.151848, 50, 14249.1, 5000, 60.0548, 1, 2674.23, 1, 0.00488062, 1, 9.73189, 1, 3644.61, 5000, 513.242, 1
9, 0.0535025, 1, 0.105799, 50, 5861.76, 5000, 68.1692, 1, 804.169, 1, 0.00201247, 1, 10.0363, 1, 2171.99, 5000, 330.867, 1
9, 0.0538159, 1, 0.117749, 50, 5909.88, 5000, 67.9541, 1, 861.268, 1, 0.00254568, 1, 9.79495, 1, 2561.73, 5000, 298.089, 1
9, 0.0566967, 1, 0.0679898, 50, 6069.38, 5000, 66.8615, 1, 1026.48, 1, 0.00225723, 1, 10.1865, 1, 2309.93, 5000, 310.032, 1
9, 0.05755, 1, 0.0746929, 50, 5888.91, 5000, 66.1768, 1, 848.863, 1, 0.00269096, 1, 9.99068, 1, 2220.89, 5000, 320.398, 1
9, 0.059413, 1, 0.0796251, 50, 5973.25, 5000, 66.9171, 1, 837.966, 1, 0.00237418, 1, 9.88903, 1, 2239.42, 5000, 298.05, 1
9, 0.0665576, 1, 0.0614967, 50, 6008.51, 5000, 65.0073, 1, 866.146, 1, 0.00184916, 1, 9.91827, 1, 2155.4, 5000, 311.362, 1
18, 0.0232515, 1, 0.0277688, 50, 3200.38, 5000, 74.1313, 1, 373.699, 1, 0.00128991, 1, 9.84351, 1, 1090.41, 5000, 187.081, 1
18, 0.0275629, 1, 0.012074, 50, 3184.31, 5000, 72.5297, 1, 357.816, 1, 0.000751928, 1, 9.88803, 1, 1049.46, 5000, 186.06, 1
18, 0.0289861, 1, 0.0287392, 50, 3089.72, 5000, 72.9418, 1, 333.771, 1, 0.00129265, 1, 9.68267, 1, 1033.76, 5000, 192.329, 1
