"psize", "before_step", "before_step nb_rep", "boundary_conditions", "boundary_conditions nb_rep", "check_cohesive_stress", "check_cohesive_stress nb_rep", "dist_mesh", "dist_mesh nb_rep", "init_full", "init_full nb_rep", "initial_conditons", "initial_conditons nb_rep", "read_mesh", "read_mesh nb_rep", "solve_step", "solve_step nb_rep", "static_solve", "static_solve nb_rep"
1, 0.674467, 1, 5.62661, 50, 43401.4, 5000, 0.0118622, 1, 2002.77, 1, 0.19026, 1, 9.94139, 1, 13173.8, 5000, 1578.03, 1
1, 0.675704, 1, 5.6345, 50, 47347.3, 5000, 0.011748, 1, 2010.01, 1, 0.190416, 1, 10.0127, 1, 13306, 5000, 1573.28, 1
1, 0.677422, 1, 5.6323, 50, 43555.7, 5000, 0.0120392, 1, 2010.18, 1, 0.190514, 1, 10.5734, 1, 13220.4, 5000, 1578.3, 1
1, 0.68417, 1, 5.63526, 50, 43789.3, 5000, 0.0118556, 1, 2004.29, 1, 0.190457, 1, 9.50034, 1, 13328.2, 5000, 1573.67, 1
1, 0.701182, 1, 5.63049, 50, 43962.2, 5000, 0.0117758, 1, 2007.62, 1, 0.190159, 1, 9.30993, 1, 13310.8, 5000, 1572.29, 1
2, 0.325791, 1, 2.88947, 50, 33791.4, 5000, 52.9545, 1, 705.339, 1, 0.0967626, 1, 9.71876, 1, 7063.8, 5000, 878.015, 1
2, 0.326321, 1, 2.88889, 50, 33061.1, 5000, 56.5004, 1, 709.106, 1, 0.0970042, 1, 9.27152, 1, 6939.74, 5000, 879.197, 1
2, 0.327108, 1, 2.85245, 50, 32890.2, 5000, 53.1332, 1, 705.381, 1, 0.0951006, 1, 9.64581, 1, 6873.41, 5000, 1043.09, 1
2, 0.332798, 1, 2.868, 50, 33175.4, 5000, 52.099, 1, 700.515, 1, 0.0985001, 1, 9.44493, 1, 6875.42, 5000, 1067.69, 1
2, 0.339968, 1, 2.89175, 50, 33445.5, 5000, 53.1072, 1, 711.548, 1, 0.0974849, 1, 9.37462, 1, 6913.33, 5000, 1054.43, 1
4, 0.15958, 1, 1.48025, 50, 17259.8, 5000, 63.2652, 1, 222.269, 1, 0.0509083, 1, 9.28532, 1, 3652.07, 5000, 521.681, 1
4, 0.161444, 1, 1.44836, 50, 17262.2, 5000, 58.7138, 1, 215.391, 1, 0.045928, 1, 9.6533, 1, 3587.49, 5000, 549.595, 1
4, 0.167539, 1, 1.48376, 50, 16840.8, 5000, 61.4449, 1, 206.733, 1, 0.0517703, 1, 10.148, 1, 3633.21, 5000, 537.181, 1
4, 0.169392, 1, 1.4031, 50, 17278.2, 5000, 60.4208, 1, 212.016, 1, 0.0462931, 1, 9.49117, 1, 3539.29, 5000, 510.745, 1
4, 0.172917, 1, 1.30622, 50, 17218.4, 5000, 60.9749, 1, 216.001, 1, 0.0447654, 1, 9.60711, 1, 3947.11, 5000, 542.865, 1
9, 0.0783926, 1, 0.653594, 50, 7068.56, 5000, 66.722, 1, 67.8223, 1, 0.0199501, 1, 9.43149, 1, 2284.65, 5000, 305.146, 1
9, 0.0826232, 1, 0.668326, 50, 7096.48, 5000, 64.9783, 1, 67.0844, 1, 0.0223139, 1, 9.52584, 1, 2348.75, 5000, 332.809, 1
9, 0.0828725, 1, 0.685732, 50, 7160.9, 5000, 67.9742, 1, 69.8341, 1, 0.0232364, 1, 9.32624, 1, 2255.43, 5000, 311.852, 1
9, 0.0881465, 1, 0.698981, 50, 7229.9, 5000, 67.2705, 1, 70.0953, 1, 0.0244323, 1, 9.50902, 1, 2609.56, 5000, 309.241, 1
9, 0.0883735, 1, 0.667052, 50, 7138.44, 5000, 68.6681, 1, 68.4354, 1, 0.0220666, 1, 9.62203, 1, 2416.26, 5000, 297.52, 1
18, 0.0321164, 1, 0.234423, 50, 3852.74, 5000, 76.8466, 1, 24.9546, 1, 0.0112742, 1, 9.32589, 1, 1157.14, 5000, 181.781, 1
18, 0.0328036, 1, 0.421483, 50, 3867.93, 5000, 74.9321, 1, 25.6794, 1, 0.0123903, 1, 9.39729, 1, 1104.58, 5000, 186.339, 1
18, 0.0373972, 1, 0.228262, 50, 3626.15, 5000, 75.5759, 1, 26.5479, 1, 0.00998903, 1, 10.9111, 1, 1181.88, 5000, 181.34, 1
18, 0.039066, 1, 0.356208, 50, 3798.71, 5000, 76.4276, 1, 24.8362, 1, 0.0121822, 1, 9.84557, 1, 1040.68, 5000, 192.041, 1
18, 0.0475082, 1, 0.501067, 50, 3449.39, 5000, 76.3079, 1, 27.9417, 1, 0.0186556, 1, 10.3074, 1, 1422.5, 5000, 184.408, 1
36, 0.0162171, 1, 0.306056, 50, 2052.02, 5000, 90.2809, 1, 10.1321, 1, 0.0102606, 1, 9.56202, 1, 686.931, 5000, 126.529, 1
36, 0.0182236, 1, 0.00240193, 50, 2034.8, 5000, 88.8782, 1, 10.2076, 1, 0.000547337, 1, 9.77406, 1, 623.762, 5000, 129.831, 1
36, 0.0209044, 1, 0.306174, 50, 1982.77, 5000, 88.0837, 1, 10.0759, 1, 0.00921346, 1, 9.58744, 1, 649.867, 5000, 130.971, 1
