"psize", "before_step", "before_step nb_rep", "boundary_conditions", "boundary_conditions nb_rep", "dist_mesh", "dist_mesh nb_rep", "init_full", "init_full nb_rep", "initial_conditons", "initial_conditons nb_rep", "read_mesh", "read_mesh nb_rep", "solve_step", "solve_step nb_rep", "static_solve", "static_solve nb_rep"
1, 0.49785, 1, 0.510844, 50, 0.00310083, 1, 11288.7, 1, 0.0156688, 1, 9.81213, 1, 12270.4, 5000, 1582.45, 1
1, 0.504109, 1, 0.488606, 50, 0.0028939, 1, 11160.8, 1, 0.0155559, 1, 9.74975, 1, 12312.2, 5000, 1571.74, 1
1, 0.505183, 1, 0.496298, 50, 0.00292231, 1, 11273.1, 1, 0.0156537, 1, 10.1601, 1, 12290.8, 5000, 1579.84, 1
1, 0.507601, 1, 0.501862, 50, 0.00276632, 1, 11596.3, 1, 0.0153955, 1, 9.76398, 1, 12554.2, 5000, 1573.57, 1
1, 0.509845, 1, 0.482603, 50, 0.00277614, 1, 11429.7, 1, 0.0155437, 1, 9.85478, 1, 12260.1, 5000, 1572.95, 1
1, 0.535527, 1, 0.500359, 50, 0.00293991, 1, 11347.3, 1, 0.0157376, 1, 10.0182, 1, 12490.7, 5000, 1585, 1
2, 0.242117, 1, 0.290128, 50, 61.862, 1, 6838.82, 1, 0.0079726, 1, 9.7419, 1, 6274.5, 5000, 925.615, 1
2, 0.24305, 1, 0.313794, 50, 59.1916, 1, 6410.35, 1, 0.00775805, 1, 10.0465, 1, 6469.17, 5000, 1045.03, 1
2, 0.244599, 1, 0.280054, 50, 59.7788, 1, 6491.47, 1, 0.00781098, 1, 9.99444, 1, 6233.02, 5000, 884.802, 1
2, 0.245179, 1, 0.310822, 50, 55.7416, 1, 6424.39, 1, 0.00806629, 1, 9.96109, 1, 6275.49, 5000, 890.807, 1
2, 0.245588, 1, 0.285951, 50, 61.6897, 1, 6438.76, 1, 0.00855468, 1, 9.95296, 1, 6218.32, 5000, 1023.68, 1
2, 0.249381, 1, 0.301206, 50, 58.9007, 1, 6555.79, 1, 0.00902649, 1, 9.91317, 1, 6193.48, 5000, 1174.12, 1
4, 0.12175, 1, 0.162493, 50, 59.6991, 1, 2540.21, 1, 0.00439861, 1, 10.1329, 1, 3207, 5000, 570.839, 1
4, 0.122356, 1, 0.163623, 50, 63.9361, 1, 2642.49, 1, 0.00785117, 1, 9.69196, 1, 3227.52, 5000, 585.528, 1
4, 0.124977, 1, 0.154488, 50, 61.1022, 1, 2558.95, 1, 0.00521247, 1, 9.84483, 1, 3171.38, 5000, 568.309, 1
4, 0.125519, 1, 0.150834, 50, 59.988, 1, 2514.23, 1, 0.00469087, 1, 10.0272, 1, 3180.78, 5000, 564.672, 1
4, 0.126895, 1, 0.15645, 50, 63.124, 1, 2553.13, 1, 0.00419631, 1, 9.92935, 1, 3171.45, 5000, 624.013, 1
