
"psize", "before_step", "before_step nb_rep", "boundary_conditions", "boundary_conditions nb_rep", "dist_mesh", "dist_mesh nb_rep", "init_full", "init_full nb_rep", "initial_conditons", "initial_conditons nb_rep", "read_mesh", "read_mesh nb_rep", "solve_step", "solve_step nb_rep", "static_solve", "static_solve nb_rep"
1, 0.665034, 1, 0.981922, 50, 0.0118845, 1, 2078.59, 1, 0.0429298, 1, 9.41881, 1, 10574.9, 5000, 1562.58, 1
1, 0.672466, 1, 1.06109, 50, 0.0116501, 1, 2072.94, 1, 0.0434645, 1, 9.72402, 1, 10667.5, 5000, 1573.99, 1
1, 0.674088, 1, 0.99462, 50, 0.0119275, 1, 2090.8, 1, 0.0432626, 1, 10.1708, 1, 10883.8, 5000, 1577.46, 1
1, 0.682685, 1, 1.03716, 50, 0.0116193, 1, 2092.56, 1, 0.0450445, 1, 9.19569, 1, 10609.4, 5000, 1571.66, 1
1, 0.683126, 1, 0.984742, 50, 0.0117772, 1, 2085.7, 1, 0.0448721, 1, 10.0921, 1, 10934.8, 5000, 1576.26, 1
2, 0.319117, 1, 0.555515, 50, 52.0629, 1, 731.605, 1, 0.0216261, 1, 9.61784, 1, 5457.03, 5000, 878.002, 1
2, 0.320352, 1, 0.559804, 50, 51.9549, 1, 732.868, 1, 0.0218767, 1, 9.4307, 1, 5464.93, 5000, 1163.81, 1
2, 0.324877, 1, 0.552347, 50, 54.0504, 1, 737.485, 1, 0.021679, 1, 9.68042, 1, 5468.61, 5000, 875.662, 1
2, 0.331022, 1, 0.59322, 50, 51.7802, 1, 744.797, 1, 0.0222684, 1, 10.1455, 1, 5461.25, 5000, 1166.76, 1
2, 0.334472, 1, 0.545873, 50, 54.5082, 1, 739.121, 1, 0.0209809, 1, 9.95123, 1, 5457.49, 5000, 883.212, 1
4, 0.160019, 1, 0.299157, 50, 61.8543, 1, 229.315, 1, 0.0112016, 1, 9.55742, 1, 2825.05, 5000, 564.248, 1
4, 0.16125, 1, 0.275957, 50, 59.7748, 1, 225.835, 1, 0.0107453, 1, 9.74177, 1, 2846.5, 5000, 507.811, 1
4, 0.161942, 1, 0.2835, 50, 60.048, 1, 230.628, 1, 0.0113767, 1, 10.0777, 1, 2848.45, 5000, 531.634, 1
4, 0.162075, 1, 0.278665, 50, 60.9083, 1, 228.994, 1, 0.0117754, 1, 9.63152, 1, 2826.46, 5000, 562.096, 1
4, 0.162917, 1, 0.30397, 50, 58.8144, 1, 229.5, 1, 0.0116789, 1, 9.53281, 1, 2828.55, 5000, 541.715, 1
9, 0.0680661, 1, 0.155682, 50, 68.1269, 1, 73.5878, 1, 0.00610985, 1, 10.0829, 1, 1453.1, 5000, 303.762, 1
9, 0.0782895, 1, 0.159958, 50, 67.3837, 1, 74.065, 1, 0.00612234, 1, 9.57388, 1, 1430.09, 5000, 332.501, 1
9, 0.0827052, 1, 0.177743, 50, 68.5514, 1, 74.3621, 1, 0.00664509, 1, 9.66087, 1, 1487.51, 5000, 313.249, 1
9, 0.0869841, 1, 0.123524, 50, 66.9708, 1, 76.318, 1, 0.00501355, 1, 9.20408, 1, 1489.92, 5000, 304.636, 1
9, 0.0924094, 1, 0.142414, 50, 66.7011, 1, 78.9359, 1, 0.00529925, 1, 9.42653, 1, 1476.84, 5000, 313.137, 1
18, 0.031813, 1, 0.0800608, 50, 73.357, 1, 30.0784, 1, 0.003224, 1, 9.64117, 1, 825.934, 5000, 183.713, 1
18, 0.0325915, 1, 0.0438233, 50, 75.3571, 1, 29.765, 1, 0.00240217, 1, 9.65395, 1, 794.127, 5000, 201.037, 1
18, 0.03398, 1, 0.101362, 50, 74.6629, 1, 29.5523, 1, 0.00439974, 1, 9.70889, 1, 797.18, 5000, 186.12, 1
18, 0.0486052, 1, 0.116315, 50, 73.6146, 1, 30.3282, 1, 0.00431504, 1, 9.73992, 1, 814.917, 5000, 187.476, 1
18, 0.0677928, 1, 0.106133, 50, 75.9327, 1, 30.0982, 1, 0.00422486, 1, 9.53432, 1, 835.656, 5000, 194.432, 1
36, 0.0159303, 1, 0.0286246, 50, 90.1303, 1, 12.0466, 1, 0.0010243, 1, 9.52564, 1, 550.395, 5000, 126.42, 1
